Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
262,Sheldon Dries,VAN,28,F,44,9,5,14,22,-8,11:27,9:43,1:31,0:12,5,4,0,0,0,4,1,0,1,0,9,5,0,1,0,35.7%,1.071,0.595,1.666,0.701,0.561,1.261,3.587,0.897,4.484,0.205,0.114,0.318,67,13.4%,59,28,154,158,49.36%
263,Kasperi Kapanen,STL,26,F,47,9,13,22,8,-9,12:30,10:46,1:12,0:31,5,3,1,2,0,10,3,0,0,0,15,6,1,2,0,27.3%,0.919,1.327,2.246,0.593,1.186,1.778,3.155,3.155,6.31,0.191,0.277,0.468,79,11.4%,83,16,5,12,29.41%
264,Yakov Trenin,NSH,25,F,56,9,11,20,35,3,14:30,12:21,0:06,2:02,7,0,2,2,0,10,1,0,2,0,17,1,2,4,0,5.0%,0.665,0.813,1.478,0.607,0.867,1.474,0,9.945,9.945,0.161,0.196,0.357,102,8.8%,128,22,11,16,40.74%
265,Anton Lundell,FLA,21,F,56,9,19,28,31,1,16:57,12:57,1:59,2:01,7,0,2,1,0,14,5,0,2,1,21,5,2,3,1,17.9%,0.569,1.2,1.769,0.579,1.158,1.737,0,2.695,2.695,0.161,0.339,0.5,120,7.5%,20,28,205,230,47.13%
266,Jamie Oleksiak,SEA,30,D,57,9,9,18,53,11,19:15,16:22,0:02,2:51,9,0,0,2,0,9,0,0,2,0,18,0,0,4,0,0.0%,0.492,0.492,0.984,0.579,0.579,1.158,0,0,0,0.158,0.158,0.316,57,15.8%,101,89,0,0,0.00%
267,Anthony Mantha,WSH,28,F,57,9,15,24,29,-7,14:19,13:22,0:56,0:00,8,1,0,1,0,14,1,0,1,0,22,2,0,2,0,8.3%,0.661,1.102,1.764,0.63,1.102,1.732,1.117,1.117,2.235,0.158,0.263,0.421,105,8.6%,62,21,8,7,53.33%
268,Thomas Chabot,OTT,25,D,58,9,26,35,48,-12,25:31,21:20,3:59,0:12,4,5,0,0,0,13,13,0,5,3,17,18,0,5,3,51.4%,0.365,1.054,1.419,0.194,0.63,0.824,1.298,3.375,4.673,0.155,0.448,0.603,154,5.8%,66,102,0,0,0.00%
269,Jason Dickinson,CHI,27,F,59,9,14,23,22,-17,15:22,13:03,0:21,1:57,8,1,0,1,0,11,0,3,2,0,19,1,3,3,0,4.3%,0.595,0.926,1.521,0.623,0.857,1.48,2.806,0,2.806,0.153,0.237,0.39,81,11.1%,80,63,269,286,48.47%
270,Jeff Carter,PIT,37,F,60,9,14,23,26,-10,14:27,11:50,1:31,1:05,7,2,0,1,1,8,5,1,3,0,15,7,1,4,1,30.4%,0.622,0.968,1.591,0.591,0.676,1.267,1.31,3.276,4.586,0.15,0.233,0.383,103,8.7%,71,45,436,305,58.84%
271,Mikael Granlund,PIT,30,F,60,9,27,36,12,-16,18:34,14:35,2:57,1:01,8,1,0,1,0,16,11,0,2,1,24,12,0,3,1,33.3%,0.485,1.454,1.939,0.548,1.096,1.645,0.338,3.721,4.059,0.15,0.45,0.6,83,10.8%,58,42,129,168,43.43%
272,Filip Hronek,DET,25,D,60,9,29,38,34,8,21:31,17:30,2:24,1:36,5,4,0,1,0,17,12,0,2,0,22,16,0,3,0,42.1%,0.418,1.347,1.765,0.286,0.971,1.257,1.663,4.988,6.651,0.15,0.483,0.633,122,7.4%,97,54,0,0,0.00%
273,Dakota Joshua,VAN,26,F,60,9,6,15,54,-15,11:00,10:04,0:08,0:47,8,1,0,1,0,6,0,0,0,0,14,1,0,1,0,6.7%,0.818,0.545,1.363,0.794,0.596,1.39,6.91,0,6.91,0.15,0.1,0.25,53,17.0%,159,18,22,20,52.38%
274,Miro Heiskanen,DAL,23,D,61,9,38,47,26,7,25:30,20:30,3:10,1:48,8,1,0,1,0,16,21,1,4,0,24,22,1,5,0,46.8%,0.347,1.465,1.812,0.384,0.767,1.151,0.309,6.498,6.807,0.148,0.623,0.77,170,5.3%,40,79,0,0,0.00%
275,Jimmy Vesey,NYR,29,F,62,9,12,21,13,10,13:52,12:23,0:03,1:25,8,0,1,3,0,12,0,0,1,0,20,0,1,4,0,0.0%,0.628,0.837,1.464,0.625,0.937,1.561,0,0,0,0.145,0.194,0.339,102,8.8%,81,34,3,12,20.00%
